,gender,customer_type,age,type_of_travel,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
12680,Male,Loyal Customer,35,Business travel,604.0,3,3,3,4,5,5,4,0.0,0.0,satisfied
12681,Male,Loyal Customer,45,Business travel,604.0,4,4,4,5,5,5,5,0.0,0.0,satisfied
12682,Male,Disloyal Customer,50,Business travel,604.0,3,3,3,5,5,4,5,0.0,0.0,dissatisfied
12684,Female,Loyal Customer,51,Business travel,604.0,1,1,1,2,5,5,3,0.0,0.0,satisfied
12685,Female,Loyal Customer,59,Business travel,604.0,1,5,5,1,1,1,3,18.0,23.0,dissatisfied
12686,Male,Loyal Customer,33,Business travel,604.0,5,5,5,5,5,4,5,1.0,37.0,satisfied
12687,Male,Loyal Customer,44,Business travel,604.0,5,4,5,4,1,1,4,18.0,0.0,satisfied
12688,Male,Loyal Customer,40,Business travel,605.0,2,4,4,4,2,2,2,1.0,7.0,dissatisfied
12689,Male,Disloyal Customer,33,Business travel,605.0,4,4,4,2,2,4,2,0.0,0.0,dissatisfied
12690,Female,Loyal Customer,25,Business travel,605.0,2,2,2,2,4,3,2,0.0,0.0,satisfied
12691,Male,Loyal Customer,53,Business travel,605.0,4,3,4,4,4,4,3,51.0,38.0,satisfied
12692,Male,Loyal Customer,59,Personal Travel,605.0,1,5,1,4,3,3,5,0.0,7.0,dissatisfied
12693,Female,Loyal Customer,26,Business travel,605.0,1,1,2,5,5,1,5,0.0,0.0,satisfied
12694,Male,Loyal Customer,36,Personal Travel,605.0,2,2,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12695,Male,Loyal Customer,57,Business travel,605.0,3,2,2,3,3,3,4,43.0,33.0,dissatisfied
12697,Female,Loyal Customer,42,Business travel,605.0,2,2,2,2,2,4,2,0.0,0.0,satisfied
12698,Male,Loyal Customer,32,Business travel,605.0,2,2,3,4,4,5,4,0.0,0.0,satisfied
12699,Female,Loyal Customer,24,Business travel,605.0,5,5,5,4,4,5,4,0.0,-45.0,satisfied
12700,Female,Loyal Customer,54,Business travel,605.0,1,1,1,2,4,4,4,3.0,0.0,satisfied
12701,Female,Loyal Customer,26,Business travel,605.0,1,1,1,2,2,1,2,0.0,0.0,satisfied
12702,Female,Loyal Customer,68,Business travel,605.0,3,3,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12703,Male,Loyal Customer,44,Business travel,605.0,1,0,0,2,3,2,3,0.0,7.0,dissatisfied
12704,Female,Disloyal Customer,36,Business travel,605.0,3,3,3,5,5,4,5,15.0,3.0,dissatisfied
12705,Female,Loyal Customer,54,Personal Travel,605.0,3,4,3,3,5,5,4,0.0,0.0,dissatisfied
12706,Female,Loyal Customer,37,Business travel,605.0,5,5,2,2,5,5,3,13.0,4.0,satisfied
12707,Female,Loyal Customer,49,Business travel,605.0,3,3,3,5,4,4,5,50.0,47.0,satisfied
12708,Female,Loyal Customer,70,Personal Travel,605.0,3,5,3,4,4,4,2,0.0,0.0,dissatisfied
12709,Female,Loyal Customer,27,Business travel,605.0,3,3,3,4,4,5,4,0.0,0.0,satisfied
12710,Female,Loyal Customer,44,Business travel,605.0,5,5,5,3,4,4,3,0.0,0.0,satisfied
12711,Male,Loyal Customer,56,Business travel,605.0,1,1,1,2,1,1,2,0.0,0.0,dissatisfied
12712,Male,Disloyal Customer,38,Business travel,606.0,3,3,3,3,3,4,3,0.0,0.0,dissatisfied
12713,Female,Loyal Customer,42,Business travel,606.0,3,5,3,5,5,5,5,1.0,0.0,satisfied
12714,Female,Disloyal Customer,48,Business travel,606.0,4,4,4,4,4,5,4,0.0,0.0,satisfied
12715,Female,Loyal Customer,27,Business travel,606.0,2,2,2,2,2,4,2,0.0,66.0,dissatisfied
12716,Female,Loyal Customer,46,Business travel,606.0,3,3,3,3,4,4,5,13.0,6.0,satisfied
12718,Male,Loyal Customer,44,Business travel,606.0,3,3,3,4,4,4,4,0.0,1.0,satisfied
12719,Female,Loyal Customer,58,Business travel,606.0,4,1,1,4,4,4,3,3.0,0.0,dissatisfied
12720,Male,Loyal Customer,8,Business travel,1683.5360392191503,2,2,3,4,2,2,2,-2.0,13.0743375378899,dissatisfied
12721,Male,Loyal Customer,18,Personal Travel,1683.5360392191503,3,4,3,4,4,4,4,-2.0,13.0743375378899,dissatisfied
12722,Male,Disloyal Customer,37,Business travel,606.0,1,1,1,2,2,5,2,0.0,0.0,dissatisfied
12723,Female,Loyal Customer,64,Personal Travel,606.0,3,2,3,3,2,2,4,11.0,12.0,dissatisfied
12724,Female,Disloyal Customer,33,Business travel,606.0,2,2,2,3,3,4,3,7.0,0.0,dissatisfied
12725,Female,Disloyal Customer,27,Business travel,606.0,1,1,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12726,Male,Loyal Customer,41,Business travel,606.0,3,3,3,2,4,4,5,0.0,0.0,satisfied
12727,Female,Disloyal Customer,43,Business travel,606.0,5,5,5,5,5,5,4,164.0,163.0,satisfied
12728,Male,Loyal Customer,49,Business travel,606.0,1,2,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12729,Male,Loyal Customer,44,Business travel,606.0,2,4,2,5,4,4,5,0.0,0.0,satisfied
12730,Male,Loyal Customer,35,Business travel,606.0,4,4,4,2,4,4,4,34.0,28.0,satisfied
12731,Male,Loyal Customer,37,Business travel,606.0,3,3,3,5,5,4,5,158.0,169.0,satisfied
12732,Male,Loyal Customer,59,Business travel,606.0,5,5,5,3,4,4,4,6.0,0.0,satisfied
12733,Female,Loyal Customer,48,Business travel,606.0,5,5,5,4,4,4,3,5.0,5.0,satisfied
12734,Male,Loyal Customer,47,Business travel,606.0,1,1,1,4,4,4,3,4.0,3.0,satisfied
12735,Female,Loyal Customer,65,Business travel,606.0,5,5,5,4,5,5,5,0.0,0.0,satisfied
12738,Male,Disloyal Customer,43,Business travel,606.0,1,1,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12739,Female,Loyal Customer,41,Business travel,606.0,5,5,5,2,5,5,4,26.0,23.0,satisfied
12741,Male,Loyal Customer,56,Personal Travel,606.0,3,2,3,3,1,1,2,24.0,5.0,dissatisfied
12742,Male,Loyal Customer,57,Business travel,606.0,2,2,4,3,3,3,4,0.0,19.0,satisfied
12743,Male,Loyal Customer,57,Business travel,606.0,1,5,5,3,1,1,3,0.0,0.0,dissatisfied
12744,Female,Loyal Customer,46,Business travel,606.0,4,4,1,5,4,4,4,0.0,0.0,satisfied
12745,Male,Loyal Customer,38,Business travel,606.0,3,5,5,4,3,3,4,14.0,26.0,dissatisfied
12748,Female,Loyal Customer,42,Business travel,606.0,2,5,2,4,4,4,4,7.0,0.0,satisfied
12749,Female,Loyal Customer,40,Business travel,606.0,5,5,5,4,4,4,5,7.0,7.0,satisfied
12750,Male,Loyal Customer,50,Business travel,606.0,4,4,4,5,5,5,5,15.0,13.0,satisfied
12751,Male,Loyal Customer,42,Business travel,606.0,1,1,3,3,5,5,4,0.0,0.0,satisfied
12752,Female,Loyal Customer,26,Business travel,606.0,2,2,2,4,4,5,4,10.0,9.0,satisfied
12753,Female,Loyal Customer,68,Personal Travel,606.0,3,4,3,4,2,2,3,0.0,7.0,dissatisfied
12754,Male,Disloyal Customer,26,Business travel,606.0,3,2,2,2,2,4,2,0.0,0.0,dissatisfied
12755,Female,Loyal Customer,43,Business travel,606.0,4,4,4,4,5,5,3,41.0,40.0,satisfied
12756,Female,Disloyal Customer,25,Business travel,606.0,2,0,1,5,5,4,5,0.0,0.0,satisfied
12757,Male,Loyal Customer,53,Business travel,607.0,2,2,2,2,5,5,4,22.0,9.0,satisfied
12758,Female,Loyal Customer,41,Personal Travel,607.0,5,5,5,4,2,4,5,0.0,0.0,satisfied
12759,Female,Loyal Customer,42,Business travel,607.0,3,3,3,5,4,4,4,0.0,0.0,satisfied
12761,Male,Loyal Customer,30,Business travel,1683.5360392191503,3,3,3,4,3,2,3,10.0,13.0743375378899,dissatisfied
12762,Male,Disloyal Customer,45,Business travel,607.0,4,4,4,5,5,5,5,36.0,34.0,satisfied
12763,Female,Disloyal Customer,33,Business travel,607.0,3,3,3,2,2,5,2,73.0,125.0,dissatisfied
12765,Female,Disloyal Customer,26,Business travel,607.0,2,4,2,5,5,5,5,4.0,6.0,dissatisfied
12766,Female,Loyal Customer,7,Personal Travel,1683.5360392191503,3,4,3,4,2,5,2,-2.0,13.0743375378899,dissatisfied
12767,Female,Loyal Customer,41,Business travel,607.0,5,5,1,5,4,4,4,51.0,41.0,satisfied
12768,Female,Loyal Customer,48,Business travel,607.0,1,1,1,5,5,5,3,6.0,0.0,satisfied
12769,Female,Disloyal Customer,22,Business travel,607.0,4,3,4,4,4,4,4,90.0,94.0,dissatisfied
12770,Female,Loyal Customer,42,Business travel,607.0,1,1,1,4,4,3,4,0.0,0.0,satisfied
12771,Male,Loyal Customer,54,Business travel,609.0,2,2,2,4,5,5,3,0.0,0.0,satisfied
12772,Male,Disloyal Customer,38,Business travel,609.0,1,1,1,2,2,5,2,0.0,0.0,dissatisfied
12773,Male,Loyal Customer,69,Business travel,609.0,3,4,4,1,3,3,3,10.0,3.0,dissatisfied
12774,Male,Loyal Customer,75,Business travel,609.0,2,2,2,1,4,4,5,0.0,1.0,satisfied
12775,Male,Loyal Customer,33,Business travel,610.0,5,5,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12776,Male,Loyal Customer,41,Business travel,610.0,3,3,3,5,4,4,5,52.0,86.0,satisfied
12777,Female,Disloyal Customer,26,Business travel,610.0,1,0,1,3,3,5,3,0.0,0.0,dissatisfied
12778,Male,Disloyal Customer,40,Business travel,610.0,2,1,1,4,4,4,4,1.0,5.0,satisfied
12779,Female,Loyal Customer,27,Business travel,610.0,1,1,1,5,5,3,5,0.0,0.0,satisfied
12780,Female,Loyal Customer,26,Business travel,610.0,3,3,3,5,5,4,5,0.0,0.0,satisfied
12781,Male,Loyal Customer,53,Business travel,611.0,4,4,4,4,4,4,4,0.0,0.0,satisfied
12782,Male,Loyal Customer,52,Business travel,611.0,1,1,1,3,5,5,4,61.0,80.0,satisfied
12783,Female,Disloyal Customer,26,Business travel,611.0,2,5,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12784,Male,Disloyal Customer,21,Business travel,611.0,4,0,4,5,5,5,5,32.0,39.0,satisfied
12785,Female,Loyal Customer,51,Business travel,611.0,2,2,2,4,5,5,4,0.0,0.0,satisfied
12786,Male,Loyal Customer,42,Business travel,611.0,2,2,2,4,4,5,4,8.0,14.0,satisfied
12787,Male,Loyal Customer,39,Business travel,611.0,1,2,2,4,1,1,2,46.0,42.0,dissatisfied
12788,Female,Loyal Customer,34,Business travel,611.0,4,4,4,2,4,4,3,14.0,9.0,satisfied
12789,Male,Loyal Customer,33,Business travel,611.0,5,5,5,4,4,4,4,0.0,0.0,satisfied
12790,Male,Loyal Customer,12,Business travel,611.0,1,1,1,5,5,4,5,0.0,0.0,satisfied
12791,Male,Disloyal Customer,39,Business travel,611.0,2,2,2,4,4,2,4,0.0,0.0,dissatisfied
12792,Male,Disloyal Customer,39,Business travel,611.0,3,3,3,4,4,5,4,0.0,0.0,dissatisfied
12793,Female,Disloyal Customer,25,Business travel,611.0,4,0,4,4,4,4,4,0.0,0.0,satisfied
12794,Female,Loyal Customer,51,Business travel,611.0,4,4,4,5,4,4,4,30.0,52.0,satisfied
12795,Female,Disloyal Customer,24,Business travel,611.0,3,1,3,5,5,5,5,51.0,-45.0,dissatisfied
12796,Male,Loyal Customer,60,Business travel,611.0,4,4,4,4,5,4,4,122.0,154.0,satisfied
12797,Female,Loyal Customer,13,Personal Travel,611.0,1,3,1,3,3,2,3,10.0,18.0,dissatisfied
12798,Male,Disloyal Customer,45,Business travel,611.0,3,3,3,4,4,4,4,20.0,18.0,satisfied
12799,Female,Loyal Customer,80,Business travel,611.0,2,3,3,4,2,2,3,0.0,2.0,dissatisfied
12800,Female,Loyal Customer,60,Business travel,611.0,2,2,2,2,5,5,5,66.0,78.0,satisfied
12801,Female,Disloyal Customer,26,Business travel,611.0,2,2,2,2,2,4,5,186.0,203.0,dissatisfied
12802,Male,Loyal Customer,59,Business travel,611.0,5,5,5,2,4,4,3,0.0,0.0,satisfied
12803,Female,Disloyal Customer,22,Business travel,611.0,4,2,4,3,3,4,3,15.0,6.0,dissatisfied
12804,Male,Loyal Customer,54,Business travel,612.0,3,3,3,5,5,5,3,8.0,0.0,satisfied
12805,Male,Disloyal Customer,20,Business travel,612.0,5,4,5,3,5,5,3,0.0,0.0,satisfied
12807,Female,Loyal Customer,51,Personal Travel,612.0,2,1,3,1,2,3,2,0.0,0.0,dissatisfied
12808,Female,Loyal Customer,36,Business travel,612.0,4,4,4,2,5,5,4,0.0,0.0,satisfied
12809,Female,Disloyal Customer,25,Business travel,612.0,4,5,5,4,4,5,4,0.0,0.0,satisfied
12810,Male,Disloyal Customer,26,Business travel,612.0,3,3,3,3,3,4,3,17.0,16.0,dissatisfied
12811,Female,Loyal Customer,34,Business travel,612.0,2,2,2,1,4,4,5,0.0,0.0,satisfied
12812,Male,Loyal Customer,32,Business travel,612.0,1,1,1,4,4,5,4,10.0,2.0,satisfied
12813,Male,Loyal Customer,58,Business travel,612.0,2,2,2,3,5,5,5,1.0,0.0,satisfied
12815,Male,Disloyal Customer,41,Business travel,612.0,4,4,4,2,2,5,2,78.0,127.0,satisfied
12816,Female,Loyal Customer,56,Business travel,612.0,2,1,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12817,Male,Disloyal Customer,40,Business travel,612.0,5,4,4,2,2,5,2,0.0,0.0,satisfied
12818,Male,Loyal Customer,62,Business travel,612.0,2,5,5,2,2,2,2,29.0,22.0,dissatisfied
12819,Male,Disloyal Customer,37,Business travel,612.0,5,4,4,2,2,4,2,0.0,0.0,satisfied
12820,Female,Disloyal Customer,37,Business travel,612.0,4,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12821,Male,Loyal Customer,32,Personal Travel,612.0,1,5,1,5,5,5,5,0.0,0.0,dissatisfied
12822,Male,Loyal Customer,39,Business travel,612.0,5,5,5,4,5,5,4,0.0,3.0,satisfied
12823,Female,Loyal Customer,50,Business travel,612.0,3,3,3,3,4,4,4,1.0,0.0,satisfied
12824,Male,Loyal Customer,42,Business travel,612.0,1,1,1,3,3,4,3,15.0,6.0,satisfied
12825,Male,Loyal Customer,44,Business travel,612.0,4,1,4,5,4,4,4,0.0,0.0,satisfied
12826,Female,Loyal Customer,58,Business travel,612.0,4,4,4,3,4,4,4,5.0,14.0,satisfied
12827,Female,Loyal Customer,21,Personal Travel,612.0,2,5,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12828,Male,Loyal Customer,41,Business travel,612.0,2,2,2,5,5,5,4,0.0,0.0,satisfied
12830,Male,Loyal Customer,59,Business travel,612.0,4,4,4,2,4,4,3,0.0,0.0,satisfied
12831,Male,Loyal Customer,22,Personal Travel,612.0,2,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12832,Female,Loyal Customer,25,Business travel,612.0,4,4,4,5,5,5,5,0.0,0.0,satisfied
12834,Male,Disloyal Customer,22,Business travel,612.0,5,4,5,2,2,5,2,92.0,99.0,satisfied
12835,Male,Disloyal Customer,40,Business travel,612.0,3,4,4,3,3,4,3,0.0,0.0,dissatisfied
12836,Female,Loyal Customer,16,Business travel,612.0,2,3,3,2,2,3,2,33.0,33.0,dissatisfied
12837,Female,Disloyal Customer,33,Business travel,612.0,2,2,2,2,2,5,2,10.0,9.0,dissatisfied
12838,Female,Loyal Customer,17,Business travel,612.0,3,3,2,4,4,4,4,5.0,8.0,satisfied
12839,Female,Loyal Customer,55,Business travel,612.0,1,1,1,5,4,4,3,0.0,0.0,satisfied
12840,Male,Loyal Customer,50,Business travel,612.0,3,2,2,5,3,3,2,0.0,0.0,dissatisfied
12841,Male,Loyal Customer,46,Business travel,612.0,1,1,1,2,5,5,4,2.0,0.0,satisfied
12842,Male,Loyal Customer,41,Business travel,612.0,3,3,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12843,Male,Loyal Customer,40,Business travel,612.0,3,3,3,5,4,4,4,0.0,0.0,satisfied
12844,Female,Disloyal Customer,41,Business travel,612.0,3,3,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12845,Female,Loyal Customer,25,Business travel,612.0,1,1,1,5,5,4,5,0.0,0.0,satisfied
12846,Male,Disloyal Customer,45,Business travel,612.0,4,4,4,4,4,5,4,1.0,0.0,dissatisfied
12847,Male,Loyal Customer,59,Business travel,612.0,2,2,2,3,5,5,5,0.0,0.0,satisfied
12848,Female,Loyal Customer,26,Business travel,612.0,5,5,5,5,5,5,5,0.0,0.0,satisfied
12849,Male,Loyal Customer,7,Personal Travel,1683.5360392191503,4,5,3,4,4,1,4,-2.0,13.0743375378899,dissatisfied
12851,Female,Loyal Customer,43,Business travel,613.0,4,5,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12852,Female,Loyal Customer,44,Business travel,613.0,2,2,2,5,5,5,4,0.0,0.0,satisfied
12853,Female,Loyal Customer,42,Business travel,615.0,5,5,5,2,5,5,5,6.0,0.0,satisfied
12854,Female,Disloyal Customer,24,Business travel,616.0,4,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12855,Male,Disloyal Customer,22,Business travel,616.0,4,2,4,4,4,5,4,5.0,3.0,satisfied
12857,Female,Loyal Customer,44,Business travel,616.0,2,2,2,5,4,4,4,3.0,5.0,satisfied
12859,Female,Loyal Customer,22,Business travel,616.0,1,5,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12860,Female,Loyal Customer,26,Business travel,616.0,4,4,4,4,4,4,4,19.0,30.0,satisfied
12861,Male,Loyal Customer,67,Personal Travel,616.0,3,5,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12862,Male,Loyal Customer,59,Business travel,616.0,5,5,5,2,4,4,3,31.0,26.0,satisfied
12863,Male,Loyal Customer,50,Business travel,616.0,1,1,1,5,4,4,3,0.0,0.0,satisfied
12864,Male,Loyal Customer,63,Business travel,616.0,4,4,4,5,3,3,3,0.0,0.0,satisfied
12865,Female,Loyal Customer,42,Business travel,616.0,1,4,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12866,Female,Loyal Customer,41,Business travel,616.0,3,3,3,3,4,4,5,115.0,113.0,satisfied
12867,Male,Loyal Customer,39,Business travel,616.0,1,0,0,4,2,2,2,0.0,0.0,dissatisfied
12868,Female,Loyal Customer,25,Business travel,616.0,3,3,3,4,4,5,4,0.0,0.0,satisfied
12869,Male,Loyal Customer,12,Personal Travel,616.0,2,5,2,4,4,3,4,56.0,60.0,dissatisfied
12870,Male,Loyal Customer,59,Business travel,616.0,1,1,1,2,4,4,5,0.0,0.0,satisfied
12871,Female,Disloyal Customer,24,Business travel,616.0,5,2,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12873,Female,Disloyal Customer,85,Business travel,617.0,3,3,3,4,4,4,4,13.699978441564664,13.0743375378899,neutral
12874,Male,Loyal Customer,41,Business travel,617.0,5,5,5,4,4,4,2,0.0,0.0,satisfied
12875,Female,Loyal Customer,59,Business travel,618.0,5,4,5,3,5,5,3,0.0,12.0,satisfied
12876,Female,Loyal Customer,25,Business travel,618.0,5,5,4,5,5,1,5,0.0,0.0,satisfied
12877,Female,Loyal Customer,43,Business travel,618.0,4,4,4,1,4,4,3,0.0,0.0,satisfied
12878,Male,Loyal Customer,9,Business travel,1683.5360392191503,3,4,3,4,3,4,3,-2.0,13.0743375378899,dissatisfied
12879,Male,Loyal Customer,41,Business travel,618.0,5,5,5,4,3,3,5,0.0,13.0743375378899,satisfied
12880,Male,Loyal Customer,44,Business travel,618.0,2,3,3,3,2,2,3,0.0,0.0,dissatisfied
12881,Male,Disloyal Customer,38,Business travel,618.0,4,4,4,2,2,4,2,7.0,0.0,satisfied
12883,Female,Loyal Customer,70,Personal Travel,618.0,2,5,2,5,5,5,3,66.0,38.0,dissatisfied
12885,Male,Loyal Customer,67,Personal Travel,620.0,1,5,2,2,4,5,3,165.0,142.0,dissatisfied
12886,Male,Disloyal Customer,27,Business travel,620.0,3,3,3,3,3,4,3,0.0,0.0,dissatisfied
12887,Male,Loyal Customer,18,Personal Travel,1683.5360392191503,4,4,3,4,3,5,3,-2.0,13.0743375378899,satisfied
12888,Male,Loyal Customer,37,Business travel,620.0,3,2,2,5,3,3,3,0.0,0.0,dissatisfied
12889,Male,Loyal Customer,46,Business travel,620.0,5,5,5,1,4,4,4,30.0,39.0,satisfied
12890,Female,Loyal Customer,43,Business travel,620.0,5,5,5,4,3,3,4,0.0,0.0,satisfied
12892,Male,Disloyal Customer,24,Business travel,620.0,5,4,5,4,4,5,4,0.0,-45.0,satisfied
12893,Male,Disloyal Customer,26,Business travel,620.0,4,4,4,5,5,5,5,5.0,0.0,dissatisfied
12894,Female,Loyal Customer,40,Business travel,620.0,2,2,5,4,2,2,2,67.0,56.0,satisfied
12895,Male,Loyal Customer,59,Business travel,620.0,2,2,5,3,5,5,5,0.0,0.0,satisfied
12896,Female,Loyal Customer,39,Business travel,620.0,3,4,4,1,3,3,2,35.0,6.0,dissatisfied
12897,Female,Disloyal Customer,25,Business travel,620.0,1,4,1,3,3,4,3,0.0,0.0,satisfied
12898,Female,Loyal Customer,40,Business travel,621.0,5,5,5,2,5,5,4,0.0,3.0,satisfied
12899,Female,Disloyal Customer,25,Business travel,621.0,3,5,2,4,4,5,4,0.0,0.0,satisfied
12900,Male,Disloyal Customer,37,Business travel,621.0,4,4,4,5,5,4,5,0.0,0.0,satisfied
12901,Female,Loyal Customer,48,Business travel,621.0,5,5,5,4,5,5,4,12.0,1.0,satisfied
12902,Female,Disloyal Customer,25,Business travel,621.0,4,0,4,3,3,4,3,0.0,0.0,satisfied
12903,Male,Loyal Customer,46,Business travel,621.0,3,3,3,3,5,5,4,2.0,0.0,satisfied
12904,Male,Loyal Customer,51,Business travel,621.0,1,1,1,2,4,4,5,0.0,2.0,satisfied
12905,Female,Disloyal Customer,18,Business travel,1683.5360392191503,5,0,3,4,3,5,3,-2.0,13.0743375378899,satisfied
12906,Male,Loyal Customer,55,Business travel,621.0,2,2,2,3,5,5,3,23.0,17.0,satisfied
12907,Male,Loyal Customer,39,Business travel,621.0,2,2,2,4,5,5,5,74.0,77.0,satisfied
12908,Female,Loyal Customer,50,Business travel,621.0,5,5,5,5,5,5,3,0.0,0.0,satisfied
12909,Male,Loyal Customer,61,Business travel,621.0,2,4,4,2,2,2,4,0.0,21.0,dissatisfied
12910,Male,Disloyal Customer,26,Business travel,621.0,5,5,5,3,3,4,3,68.0,54.0,satisfied
12913,Male,Loyal Customer,43,Business travel,621.0,3,3,3,1,3,3,3,16.0,19.0,dissatisfied
12914,Female,Loyal Customer,45,Business travel,621.0,3,3,3,4,4,4,5,19.0,14.0,satisfied
12916,Female,Disloyal Customer,40,Business travel,621.0,4,4,4,3,3,5,3,0.0,0.0,satisfied
12917,Female,Loyal Customer,25,Business travel,621.0,4,4,4,4,4,5,4,0.0,0.0,satisfied
12918,Male,Disloyal Customer,26,Business travel,621.0,5,5,5,3,3,4,3,3.0,0.0,satisfied
12919,Female,Loyal Customer,32,Business travel,621.0,3,1,3,3,3,2,3,40.0,30.0,dissatisfied
12920,Female,Disloyal Customer,21,Business travel,621.0,5,2,5,2,2,5,2,0.0,0.0,satisfied
12921,Female,Loyal Customer,57,Business travel,621.0,3,3,3,3,5,5,3,0.0,0.0,satisfied
12922,Male,Disloyal Customer,37,Business travel,621.0,1,1,1,5,5,5,5,0.0,10.0,dissatisfied
12923,Male,Loyal Customer,39,Business travel,621.0,4,4,4,4,4,4,5,0.0,0.0,satisfied
12924,Female,Loyal Customer,57,Business travel,621.0,2,2,1,3,5,5,3,1.0,2.0,satisfied
12925,Male,Loyal Customer,52,Business travel,621.0,2,2,2,2,2,2,4,54.0,47.0,satisfied
12926,Female,Disloyal Customer,26,Business travel,621.0,4,4,4,2,2,5,2,0.0,0.0,satisfied
12927,Female,Loyal Customer,18,Personal Travel,1683.5360392191503,1,5,3,4,4,4,4,-2.0,13.0743375378899,dissatisfied
12929,Male,Loyal Customer,11,Business travel,622.0,2,5,5,2,2,3,2,21.0,19.0,dissatisfied
12930,Female,Loyal Customer,43,Business travel,622.0,5,1,5,3,4,4,4,1.0,0.0,satisfied
12931,Female,Disloyal Customer,66,Personal Travel,622.0,3,3,3,2,2,3,2,13.0,24.0,dissatisfied
12932,Male,Loyal Customer,54,Business travel,622.0,3,3,2,3,3,3,4,0.0,0.0,satisfied
12933,Female,Loyal Customer,45,Business travel,622.0,1,2,5,3,1,1,4,20.0,27.0,dissatisfied
12934,Female,Loyal Customer,24,Business travel,622.0,4,4,4,5,5,5,5,18.0,-45.0,satisfied
12935,Female,Loyal Customer,33,Business travel,622.0,3,3,3,5,3,3,4,0.0,0.0,satisfied
12936,Female,Loyal Customer,49,Business travel,622.0,5,5,5,2,5,5,3,2.0,0.0,satisfied
12937,Male,Loyal Customer,53,Business travel,622.0,2,2,2,3,5,5,3,0.0,0.0,satisfied
12938,Female,Disloyal Customer,48,Business travel,622.0,5,4,4,5,5,5,5,0.0,0.0,satisfied
12939,Male,Loyal Customer,46,Business travel,622.0,1,1,1,4,4,4,5,0.0,0.0,satisfied
12941,Female,Loyal Customer,51,Business travel,622.0,2,2,1,5,4,4,4,51.0,81.0,satisfied
12942,Male,Loyal Customer,45,Business travel,622.0,2,2,2,5,2,2,4,40.0,53.0,satisfied
12943,Male,Loyal Customer,52,Business travel,622.0,1,3,3,1,1,1,4,0.0,0.0,dissatisfied
12944,Male,Loyal Customer,38,Business travel,622.0,4,4,4,4,4,4,3,0.0,0.0,satisfied
12945,Male,Loyal Customer,36,Business travel,622.0,2,3,3,1,2,2,2,51.0,122.0,dissatisfied
12946,Female,Disloyal Customer,45,Business travel,622.0,4,4,4,3,3,4,3,2.0,0.0,satisfied
12947,Male,Loyal Customer,46,Business travel,622.0,1,1,1,5,4,4,3,0.0,0.0,satisfied
12948,Male,Loyal Customer,53,Business travel,622.0,1,1,1,4,5,4,4,159.0,149.0,satisfied
12949,Male,Loyal Customer,53,Business travel,622.0,1,1,1,4,4,4,5,21.0,117.0,satisfied
12950,Female,Loyal Customer,50,Business travel,622.0,1,1,1,5,3,3,4,0.0,0.0,satisfied
12951,Male,Loyal Customer,55,Business travel,622.0,3,3,2,4,5,5,4,4.0,2.0,satisfied
12952,Female,Disloyal Customer,22,Business travel,622.0,5,0,5,4,4,4,4,0.0,0.0,satisfied
12953,Female,Loyal Customer,52,Business travel,622.0,3,3,3,2,5,5,3,0.0,0.0,satisfied
12954,Male,Loyal Customer,34,Business travel,622.0,2,2,5,3,5,5,4,36.0,41.0,satisfied
12955,Female,Disloyal Customer,39,Business travel,622.0,2,2,2,4,4,3,4,47.0,29.0,dissatisfied
12956,Female,Loyal Customer,51,Business travel,622.0,1,1,1,5,5,5,3,22.0,27.0,satisfied
12957,Female,Loyal Customer,36,Personal Travel,622.0,4,5,4,3,5,5,3,4.0,4.0,satisfied
12958,Female,Disloyal Customer,45,Business travel,622.0,3,3,3,4,4,4,4,0.0,0.0,dissatisfied
12959,Female,Loyal Customer,24,Business travel,622.0,1,1,1,5,5,5,5,0.0,-45.0,satisfied
12960,Male,Loyal Customer,17,Personal Travel,622.0,2,4,2,3,3,4,3,10.0,0.0,dissatisfied
12961,Female,Disloyal Customer,40,Business travel,622.0,1,2,2,3,3,4,3,1.0,7.0,dissatisfied
12962,Male,Loyal Customer,51,Business travel,622.0,5,5,5,3,4,4,3,0.0,0.0,satisfied
